SKU,Item ID,Product Name,Lifecycle Status,Publish Status,Status Change Reason,Product Category,Product Type,Price,Currency,Price Type,Promo Start Date,Promo End Date,Comparison Price,Comparison Price Type,Buy Box Item Price,Buy Box Shipping Price,Buy Box Eligible,MSRP,Product Tax Code,Ship Methods,Shipping Weight,Shipping Weight Unit,Fulfillment Lag Time,Fulfillment Type,WFS Sales Restriction,WPID,GTIN,UPC,Item Page URL,Primary Image URL,Shelf Name,Primary Category Path,Brand,Offer Start Date,Offer End Date,Item Creation Date,Item Last Updated,Reviews Count,Average Rating,Searchable?,Variant Group Id,Primary Variant?,Variant Grouping Attributes,Variant Grouping Values,Competitor URL,Competitor Price,Competitor Ship Price,Competitor Last Date Fetched,Repricer Strategy,Minimum Seller Allowed Price,Maximum Seller Allowed Price,Repricer Status,Product Condition,Lagtime Category
BEM0843-NAV,5187019561,Upholstered Flip-Top Storage Bench Button Tufted with Pillows Golden Base for Home Bedroom Navy,ACTIVE,PUBLISHED,"",Home & Garden,Benches,324.45,USD,Base,"","",324.45,"",324.45,0.0,Yes,"",2038710,NETWORK_GEO,68.8,"""LB""",2,Seller Fulfilled,"",23H0ATQTAGYX,00197104606532,197104606532,http://www.walmart.com/ip/Upholstered-Flip-Top-Storage-Bench-Button-Tufted-with-Pillows-Golden-Base-for-Home-Bedroom-Navy/5187019561,https://i5.walmartimages.com/asr/cddf58e6-04cc-481e-b129-ef90164094ad.b72506d1fa033b4f624336a7a40ae8ee.jpeg,Storage Benches,"[""Home Page"",""Home"",""Furniture"",""All Benches"",""Storage Benches""]",Tina's Home,11/08/2023,11/27/2028,11/08/2023,07/23/2026,0,"",Y,BEM0843,N,actual_color,Navy,"","","","","","","","",New,Furniture
BERQ1267-TAN,20573016454,"Farmhouse Storage Bench with Removable Washable Slipcover and Hidden Storage for Bedroom, Living Room and Hallway Tan Wide Stripes",ACTIVE,PUBLISHED,"",Home & Garden,Benches,209.99,USD,Base,"","",199.99,"",209.99,0.0,Yes,"",2038710,NETWORK_GEO,35.42,"""LB""",2,Seller Fulfilled,"",53UJ85WS8LCV,00197104882288,197104882288,http://www.walmart.com/ip/Farmhouse-Storage-Bench-with-Removable-Washable-Slipcover-and-Hidden-Storage-for-Bedroom-Living-Room-and-Hallway-Tan-Wide-Stripes/20573016454,https://i5.walmartimages.com/asr/9c21a720-b0ed-4f18-aaeb-02c8f2eae1a2.75c2980644c6687f75d421514abcb72f.jpeg,Storage Benches,"[""Home Page"",""Home"",""Furniture"",""All Benches"",""Storage Benches""]",Tina's Home,08/10/2026,12/31/2049,07/14/2026,08/15/2026,0,"",Y,BERQ1267,N,actual_color,Tan,https://www.amazon.com/dp/B0GQLTF8P9?psc=1&th=1&vs=1,199.99,0.0,08/25/2026,"","","",Price Adjusted By CAP,New,Furniture
BES0582-GREY,1545220983,"14 Karat Home Velvet Bench with Armrest & Wooden Frame, Contemporary Rattan Bench, Grey",ARCHIVED,UNPUBLISHED,Offer end date has passed,Home & Garden,Benches,279.9,USD,Base,"","","",,"","",Yes,"",2038710,"",38.1,"""LB""",1,Seller Fulfilled,"",6JRJGKDUX6TI,00197104007483,197104007483,http://www.walmart.com/ip/14-Karat-Home-Velvet-Bench-with-Armrest-Wooden-Frame-Contemporary-Rattan-Bench-Grey/1545220983,https://i5.walmartimages.com/asr/2fd3241d-f505-458d-bc3b-6c21cda234f5.801b62d5c2f082a2af62f3b1fc9aaaec.jpeg,Benches,"[""Home Page"",""Home"",""Furniture"",""Benches""]",Tina's Home,10/26/2022,05/19/2023,10/26/2022,07/22/2026,0,"",Y,BES0582,N,actual_color,GREY,"","","","","","","","",New,Furniture
BES0798-CHA,3486398192,"14 Karat Home Traditional Upholstered Entryway Bench Home Furniture,Charcoal",ARCHIVED,UNPUBLISHED,Offer end date has passed,Home & Garden,Benches,413.9,USD,Base,"","","",,"","",Yes,"",2038710,"",50.63,"""LB""",1,Seller Fulfilled,"",2P7GX8H6LVF7,00197104240743,197104240743,http://www.walmart.com/ip/14-Karat-Home-Traditional-Upholstered-Entryway-Bench-Home-Furniture-Charcoal/3486398192,https://i5.walmartimages.com/asr/5b55abd6-a4a4-4485-8073-b00bbf3724bb.808f7984e9999ee19215399a7f1ebe4c.jpeg,Benches,"[""Home Page"",""Home"",""Furniture"",""Benches""]",Tina's Home,05/04/2023,09/25/2023,05/04/2023,07/24/2026,0,"",Y,BES0798,N,actual_color,CHARCOAL,"","","","","","","","",New,Furniture
BSHQ0841-CML-S2,5157643761,"Faux Leather Bar Stools Set of 4 Industrial Upholstered Seat Cushion 24"" Counter Height Chairs Full Back Metal Footrest Armless Kitchen Dining Room Camel",ARCHIVED,UNPUBLISHED,Offer end date has passed,Home & Garden,Bar Stools,265.98,USD,Base,"","","",,"","",Yes,"",2038710,"",59.54,"""LB""",1,Seller Fulfilled,"",411NHKP3JSZB,00197104597854,197104597854,http://www.walmart.com/ip/Faux-Leather-Bar-Stools-Set-4-Industrial-Upholstered-Seat-Cushion-24-Counter-Height-Chairs-Full-Back-Metal-Footrest-Armless-Kitchen-Dining-Room-Camel/5157643761,https://i5.walmartimages.com/asr/8e162ae6-d441-4915-81bc-44f7cda00f65.58ea495c6f71b65480600558869eb4e2.jpeg,Shop All Bar Stools & Counter Stools,"[""Home Page"",""Home"",""Furniture"",""Kitchen & Dining Furniture"",""Bar Stools & Counter Stools"",""Shop All Bar Stools & Counter Stools""]",Tina's Home,11/14/2023,01/26/2024,11/14/2023,07/23/2026,0,"",Y,BSHQ0841-S2-S4,N,"actual_color,number_of_pieces","Camel,4","","","","","","","","",New,Furniture
BSKSD0391-FLORAL,1762494554,"14 Karat Home Bar Stool with Back Set of 2, Counter Height Stools, Floral",ARCHIVED,UNPUBLISHED,Offer end date has passed,Home & Garden,Bar Stools,209.9,USD,Base,"","","",,"","",Yes,299.9,2038710,"",41.1,"""LB""",1,Seller Fulfilled,"",4YJJ8I8RRTC4,00768657732520,768657732520,http://www.walmart.com/ip/14-Karat-Home-Bar-Stool-with-Back-Set-of-2-Counter-Height-Stools-Floral/1762494554,https://i5.walmartimages.com/asr/fa55316d-4095-4fbb-bef4-bb77608d8fc2.9a42848c0a240d5cf0d53f5be118f9a1.jpeg,Shop All Bar Stools & Counter Stools,"[""Home Page"",""Home"",""Furniture"",""Kitchen & Dining Furniture"",""Bar Stools & Counter Stools"",""Shop All Bar Stools & Counter Stools""]",14 Karat Home,01/10/2023,05/22/2023,01/10/2023,07/24/2026,0,"",Y,BSKSD0391,N,actual_color,FLORAL,"","","","","","","","",New,Furniture
BSM0285-MUSTARD-S2,1080818152,Barstools Counter Stools Sets of 2 Velvet Swivel Adjustable Mid Back Armchair Home Kitchen Island Bar Chairs Footrest Gold Round Base Mustard,ARCHIVED,UNPUBLISHED,"Offer end date has passed,Reasonable Price Not Satisfied",Home & Garden,Bar Stools,329.9,USD,Base,10/17/2022,12/31/2022,"",,"","",Yes,"",2038710,"",31.3,"""LB""",1,Seller Fulfilled,"",6MUZH8C0H6RQ,00797442829282,797442829282,http://www.walmart.com/ip/Barstools-Counter-Stools-Sets-of-2-Velvet-Swivel-Adjustable-Mid-Back-Armchair-Home-Kitchen-Island-Bar-Chairs-Footrest-Gold-Round-Base-Mustard/1080818152,https://i5.walmartimages.com/asr/df759c29-69a7-47a0-a8da-54b31822fa18.0495285eeb5ca72d80f42573c0cf9416.jpeg,Shop All Bar Stools & Counter Stools,"[""Home Page"",""Home"",""Furniture"",""Kitchen & Dining Furniture"",""Bar Stools & Counter Stools"",""Shop All Bar Stools & Counter Stools""]",14 Karat Home,06/23/2022,08/26/2024,06/24/2022,07/22/2026,0,"",Y,BSM0285,Y,"actual_color,number_of_pieces","MUSTARD,2","","","","","","","","",New,Furniture
BSM0285-NAVY-S2,1801997872,14 Karat Home Bar Stool Velvet Swivel Adjustable Mid Back Armchair Counter Height Chair Stool Set of 2 Footrest Gold Round Base Navy,ARCHIVED,UNPUBLISHED,Offer end date has passed,Home & Garden,Bar Stools,359.4,USD,Base,"","","",,"","",Yes,798.0,2038710,"",31.3,"""LB""",1,Seller Fulfilled,"",387ZX6QNVCUO,00797442829220,797442829220,http://www.walmart.com/ip/14-Karat-Home-Bar-Stool-Velvet-Swivel-Adjustable-Mid-Back-Armchair-Counter-Height-Chair-Stool-Set-of-2-Footrest-Gold-Round-Base-Navy/1801997872,https://i5.walmartimages.com/asr/ead9acdd-a443-4d21-a077-a16121bf944b.3d06ce8452b6a01e9a03c745dfe1b606.jpeg,Shop All Bar Stools & Counter Stools,"[""Home Page"",""Home"",""Furniture"",""Kitchen & Dining Furniture"",""Bar Stools & Counter Stools"",""Shop All Bar Stools & Counter Stools""]",14 Karat Home,06/23/2022,05/29/2023,06/24/2022,07/24/2026,0,"",Y,BSM0285,N,"actual_color,number_of_pieces","NAVY,2","","","","","","","","",New,Furniture
BSM0371-MUSTARD,1442049419,"14 Karat Home Swivel Adjustable Height Bar Stool Set of 2 with Metal Swivel Base, Mustard",ARCHIVED,UNPUBLISHED,Offer end date has passed,Home & Garden,Bar Stools,447.01,USD,Base,"","","",,"","",Yes,"",2038710,"",63.0,"""LB""",1,Seller Fulfilled,"",75W6MH4TCAG1,00797442801202,797442801202,http://www.walmart.com/ip/14-Karat-Home-Swivel-Adjustable-Height-Bar-Stool-Set-of-2-with-Metal-Swivel-Base-Mustard/1442049419,https://i5.walmartimages.com/asr/29ffaa34-72b2-4e53-9a60-8fca4015d316.6e16038eb69bc73d8b32d534bbe78265.jpeg,Shop All Bar Stools & Counter Stools,"[""Home Page"",""Home"",""Furniture"",""Kitchen & Dining Furniture"",""Bar Stools & Counter Stools"",""Shop All Bar Stools & Counter Stools""]",14 Karat Home,06/06/2022,05/09/2023,06/06/2022,07/23/2026,0,"",Y,BSM0371,N,actual_color,Mustard,"","","","","","","","",New,Furniture
BSQN1001-GRY-S2,5795122939,"22"" Counter Height Bar Stools Set of 4 Faux Leather Swivel Upholstered Barstools with Back Solid Wood Legs Kitchen Grey",ARCHIVED,UNPUBLISHED,Offer end date has passed,Home & Garden,Bar Stools,679.9,USD,Base,"","","",,"","",Yes,"",2038710,"",121.2,"""LB""",1,Seller Fulfilled,"",1ZBH95J4SEZD,00197104607690,197104607690,http://www.walmart.com/ip/22-Counter-Height-Bar-Stools-Set-of-4-Faux-Leather-Swivel-Upholstered-Barstools-with-Back-Solid-Wood-Legs-Kitchen-Grey/5795122939,https://i5.walmartimages.com/asr/3edb0cc8-56dc-49b5-afee-a75b04125460.f50c8970b024f7811bbb17eacace6da8.jpeg,Shop All Bar Stools & Counter Stools,"[""Home Page"",""Home"",""Furniture"",""Kitchen & Dining Furniture"",""Bar Stools & Counter Stools"",""Shop All Bar Stools & Counter Stools""]",14 Karat Home,05/10/2024,11/05/2024,05/10/2024,07/23/2026,0,"",Y,BSQN1004,N,"actual_color,character,number_of_pieces","GREY,Leather Back,4","","","","","","","","",New,Furniture
CEHY0499-NATURAL,3513607088,"14 Karat Home 46"" Modern Console Table with Storage Space Drawer for Living Room Natural",ARCHIVED,UNPUBLISHED,Offer end date has passed,Home & Garden,Console Tables,179.99,USD,Base,"","","",,"","",Yes,"",2038710,"",67.25,"""LB""",1,Seller Fulfilled,"",3B6HDH1MDFKW,00197104228598,197104228598,http://www.walmart.com/ip/14-Karat-Home-46-Modern-Console-Table-with-Storage-Space-Drawer-for-Living-Room-Natural/3513607088,https://i5.walmartimages.com/asr/a3a7bf69-e589-4e03-b442-0065d5f80580.243ddf89b4b2adf09eefe8f880d42493.jpeg,Console Tables,"[""Home Page"",""Home"",""Furniture"",""Living Room Furniture"",""Console Tables""]",14 Karat Home,03/24/2023,09/26/2023,03/24/2023,07/23/2026,0,"",Y,CEHY0499,Y,actual_color,NATURAL,"","","","","","","","",New,Furniture
CHAF0332-IVORY,2278745024,"14 Karat Home Contemporary Wingback Accent Chair, Upholstered Armless Chair for Living Room Bedroom, Ivory",ARCHIVED,UNPUBLISHED,Offer end date has passed,Home & Garden,Armchairs & Accent Chairs,123.9,USD,Base,"","","",,"","",Yes,"",2038710,"",35.6,"""LB""",1,Seller Fulfilled,"",4MU7L8RW41F8,00768640342804,768640342804,http://www.walmart.com/ip/14-Karat-Home-Wooden-Upholstered-Armchair-Button-tufted-Back-Solid-Wood-Frame-Living-Room-White/2278745024,https://i5.walmartimages.com/asr/78aaffa9-3d1d-47e5-b296-57ce875e73d8.7b8f0d9ceaa264843e090aef5da2a580.jpeg,All Accent Chairs,"[""Home Page"",""Home"",""Furniture"",""Living Room Furniture"",""Accent Chairs"",""All Accent Chairs""]",14 Karat Home,12/07/2022,08/23/2023,12/07/2022,07/23/2026,0,"",Y,CHDT0329,N,actual_color,IVORY,"","","","","","","","",New,Furniture
CHAF0418-OATMEAL-S2,1476139472,14 Karat Home Upholstered Accent Chair set of 2 Rattan Arms Contemporary Armchair Wooden Base Living Room Office Oatmeal,ARCHIVED,UNPUBLISHED,Offer end date has passed,Home & Garden,Armchairs & Accent Chairs,546.98,USD,Base,03/16/2023,04/01/2023,"",,"","",Yes,"",2038710,"",96.8,"""LB""",1,Seller Fulfilled,"",5G1FT1R73OPL,00768645752400,768645752400,http://www.walmart.com/ip/14-Karat-Home-Upholstered-Accent-Chair-set-of-2-Rattan-Arms-Contemporary-Armchair-Wooden-Base-Living-Room-Office-Oatmeal/1476139472,https://i5.walmartimages.com/asr/aaeab235-1639-4fd1-b565-27f0bffe6fab.2079a82fad2e4f514e2e782690306607.jpeg,All Accent Chairs,"[""Home Page"",""Home"",""Furniture"",""Living Room Furniture"",""Accent Chairs"",""All Accent Chairs""]",14 Karat Home,11/24/2022,06/29/2023,10/31/2022,07/23/2026,0,"",Y,CHAF0418,N,"actual_color,number_of_pieces","OATMEAL,2","","","","","","","","",New,Furniture
CHAF0460-BLACK,1802347907,"14 Karat Home Office Accent Chair with Tufted Back, Armchair for Living Room with Solid Wood Legs, Black",ARCHIVED,UNPUBLISHED,Offer end date has passed,Home & Garden,Armchairs & Accent Chairs,239.9,USD,Base,"","","",,"","",Yes,"",2038710,"",31.7,"""LB""",1,Seller Fulfilled,"",0SQ6PO7UXN34,00768617289873,768617289873,http://www.walmart.com/ip/14-Karat-Home-Office-Accent-Chair-with-Tufted-Back-Armchair-for-Living-Room-with-Solid-Wood-Legs-Black/1802347907,https://i5.walmartimages.com/asr/96ac5499-e3f4-49de-ae4b-e959b4598ac3.6db63a10ee40f45948eee16ad5d83706.jpeg,All Accent Chairs,"[""Home Page"",""Home"",""Furniture"",""Living Room Furniture"",""Accent Chairs"",""All Accent Chairs""]",14 Karat Home,07/12/2022,03/27/2023,07/14/2022,07/24/2026,0,"",Y,CHAF0460,Y,actual_color,Black,"","","","","","","","",New,Furniture
CHAS0744-NAV-S2,2383643745,"14 Karat Home Contemporary Upholstered Accent Chairs Set of 2 for Living Room Home Decor,Navy",ARCHIVED,UNPUBLISHED,Offer end date has passed,Home & Garden,Armchairs & Accent Chairs,597.77,USD,Base,"","","",,"","",Yes,"",2038710,"",55.0,"""LB""",1,Seller Fulfilled,"",6L4HYC96BJ0P,00197104210234,197104210234,http://www.walmart.com/ip/14-Karat-Home-Contemporary-Upholstered-Accent-Chairs-Set-of-2-for-Living-Room-Home-Decor-Navy/2383643745,https://i5.walmartimages.com/asr/ff3aba7a-6476-46e6-ac31-641414bb3c2b.a6b78470195a634333f33f4514bf877d.jpeg,All Accent Chairs,"[""Home Page"",""Home"",""Furniture"",""Living Room Furniture"",""Accent Chairs"",""All Accent Chairs""]",14 Karat Home,04/28/2023,11/27/2023,04/28/2023,07/23/2026,0,"",Y,CHAS0744,N,actual_color,NAVY,"","","","","","","","",New,Furniture
CHDM1315-BLU-S2,20730824557,"Farmhouse Swivel Rocking Chairs Set of 2 Upholstered Glider Rocker with Removable Washable Slipcover, Nursery Accent Chair Blue Thin Stripes",ACTIVE,PUBLISHED,"",Home & Garden,Armchairs & Accent Chairs,1199.98,USD,Base,"","","",,1199.98,0.0,Yes,"",2038710,NETWORK_GEO,177.4,"""LB""",2,Seller Fulfilled,"",2ZWQ7VBTA2FT,00197104885555,197104885555,http://www.walmart.com/ip/Farmhouse-Swivel-Rocking-Chairs-Set-of-2-Upholstered-Glider-Rocker-with-Removable-Washable-Slipcover-Nursery-Accent-Chair-Blue-Thin-Stripes/20730824557,https://i5.walmartimages.com/asr/03c1f9c4-130f-467e-9e0b-5236da0ca531.93a820a6bc18d856398140d53131f635.jpeg,All Accent Chairs,"[""Home Page"",""Home"",""Furniture"",""Living Room Furniture"",""Accent Chairs"",""All Accent Chairs""]",Tina's Home,07/28/2026,12/16/2030,07/30/2026,08/24/2026,0,"",Y,"","","","","","","","","","","","",New,Furniture
